iter	RMSE
245	14.70825542
246	14.70429693
247	14.6877008
248	14.68470688
249	14.67736998
250	14.67717264
251	14.67695718
252	14.67669023
253	14.67305303
254	14.66355861
255	14.65383725
256	14.63603069
257	14.62429177
258	14.61772456
259	14.61023982
260	14.60590096
261	14.59075964
262	14.58977917
263	14.57816775
264	14.56472995
265	14.5615416
266	14.55567161
267	14.54183781
268	14.53710009
269	14.52870576
270	14.51928114
271	14.51881302
272	14.51868487
273	14.51184803
274	14.51134196
275	14.50795732
276	14.49904864
277	14.49456989
278	14.49182969
279	14.49052724
280	14.47934508
281	14.47889243
282	14.47007119
283	14.45602627
284	14.44480514
285	14.43697472
286	14.4231232
287	14.42089284
288	14.4119288
289	14.3998406
290	14.39629283
291	14.39556886
292	14.38745421
293	14.38725482
294	14.38050261
295	14.37792345
296	14.37049444
297	14.36275599
298	14.36202364
299	14.35361036
300	14.34764061
301	14.33731059
302	14.32578704
303	14.32114631
304	14.3107412
305	14.30392117
306	14.30320292
307	14.30307624
308	14.30066147
309	14.29640069
310	14.2960087
311	14.28935931
312	14.27939269
313	14.27013742
314	14.26707144
315	14.2662212
316	14.24999473
317	14.24103716
318	14.2402578
319	14.23949954
320	14.23915411
321	14.22974264
322	14.22121776
323	14.21891769
324	14.21882569
325	14.21280852
326	14.20820966
327	14.2001561
328	14.18688894
329	14.18016028
330	14.1762708
331	14.16671779
332	14.16654086
333	14.16026547
334	14.1590502
335	14.15433576
336	14.14538286
337	14.14527993
338	14.14240527
339	14.14167958
340	14.14137884
341	14.13392007
342	14.12779104
343	14.12714397
344	14.11723398
345	14.10794241
346	14.09932396
347	14.09790304
348	14.0971211
349	14.09576461
350	14.08732201
351	14.0842702
352	14.07872377
353	14.07778406
354	14.06859434
355	14.06789883
356	14.06171016
357	14.05007052
358	14.04413773
359	14.03206665
360	14.03163785
361	14.03147949
362	14.01741947
363	14.00975617
364	14.00385032
365	13.99764559
366	13.99034607
367	13.98005895
368	13.97980436
369	13.97307999
370	13.96812167
371	13.96039595
372	13.9582746
373	13.94943205
374	13.93992875
375	13.92936823
376	13.92149174
377	13.91673381
378	13.91563292
379	13.9103688
380	13.9058548
381	13.9054893
382	13.89559979
383	13.88082004
384	13.87387377
385	13.86642211
386	13.86182262
387	13.85418839
388	13.85405678
389	13.85393857
390	13.8483296
391	13.83909321
392	13.83613166
393	13.83601069
394	13.83593519
395	13.83494853
396	13.82929146
397	13.82586057
398	13.82563919
399	13.82435849
400	13.81923291
401	13.80749619
402	13.80127242
403	13.79992432
404	13.79048086
405	13.78922137
406	13.78280488
407	13.77807336
408	13.77577852
409	13.77012052
410	13.76452027
411	13.7524688
412	13.74834421
413	13.74682947
414	13.7459677
415	13.7457913
416	13.73861188
417	13.7374169
418	13.72694848
419	13.72195589
420	13.71573227
421	13.70928299
422	13.70564062
423	13.70485346
424	13.70179244
425	13.70137948
426	13.6958864
427	13.68805089
428	13.68655055
429	13.68082034
430	13.68035571
431	13.67961
432	13.67846266
433	13.67836724
434	13.67242957
435	13.66772295
436	13.65644117
437	13.64802051
438	13.64316783
439	13.63035547
440	13.62044786
441	13.60821864
442	13.59841265
443	13.59400622
444	13.58499044
445	13.57958256
446	13.57296754
447	13.57061784
448	13.56278261
449	13.56081838
450	13.55628682
451	13.55200952
452	13.54728482
453	13.54067057
454	13.53633787
455	13.53256613
456	13.52899082
457	13.52390168
458	13.52050167
459	13.51234984
460	13.50662769
461	13.50657395
462	13.5021665
463	13.49338948
464	13.4861978
465	13.4769988
466	13.47034516
467	13.46713326
468	13.45911931
469	13.45592765
470	13.43875639
471	13.42826718
472	13.42146938
473	13.41480838
474	13.40788242
475	13.40150249
476	13.39671386
477	13.3939935
478	13.38566904
479	13.3827487
480	13.37485305
481	13.36753758
482	13.36636528
483	13.36358751
484	13.35902325
485	13.35643482
486	13.35000707
487	13.34464846
488	13.34037784
489	13.33642747
490	13.33059939
491	13.32669109
492	13.32246809
493	13.31851987
494	13.31327799
495	13.30344467
496	13.29801474
497	13.29202544
498	13.29199234
499	13.28928732
500	13.28429173
501	13.27780314
502	13.2713671
503	13.2659081
504	13.26160816
505	13.25414295
506	13.24910871
507	13.24105432
508	13.23710783
509	13.23326443
510	13.22562427
511	13.21853202
512	13.21461554
513	13.2108687
514	13.20375876
515	13.19363174
516	13.18942755
517	13.18154838
518	13.17952984
519	13.1720336
520	13.16728123
521	13.16400853
522	13.16072555
523	13.15512891
524	13.15179631
525	13.14333631
526	13.13507063
527	13.13503884
528	13.13467415
529	13.1323502
530	13.12749492
531	13.1248193
532	13.12079941
533	13.11553755
534	13.11463062
535	13.10665801
536	13.10662586
537	13.10653327
538	13.10151867
539	13.09558776
540	13.09165515
541	13.08823055
542	13.08606976
543	13.08203144
544	13.07996523
545	13.07914844
546	13.07060261
547	13.06548938
548	13.06020745
549	13.0526226
550	13.04779886
551	13.04497126
552	13.03741278
553	13.03679106
554	13.03444094
555	13.02350819
556	13.01761636
557	13.0138949
558	13.00694071
559	13.00026952
560	12.99482672
561	12.99403428
562	12.99149939
563	12.99079391
564	12.98661249
565	12.98152421
566	12.97481095
567	12.97111653
568	12.96472843
569	12.95738056
570	12.94903094
571	12.9470315
572	12.94059934
573	12.93451184
574	12.93381089
575	12.92923365
576	12.92492031
577	12.9236829
578	12.92333062
579	12.92296047
580	12.92188269
581	12.91937723
582	12.91849091
583	12.91467435
584	12.91464268
585	12.90868935
586	12.90863065
587	12.90857663
588	12.90291105
589	12.90086847
590	12.8932889
591	12.89295563
592	12.8887269
593	12.88307125
594	12.8825736
595	12.87952323
596	12.87683998
597	12.86871418
598	12.86244077
599	12.85993886
600	12.85807971
601	12.85761245
602	12.85445603
603	12.84957724
604	12.84329348
605	12.8415467
606	12.83918063
607	12.83151972
608	12.83031374
609	12.82949593
610	12.82454992
611	12.82419427
612	12.8232654
613	12.81604915
614	12.81129445
615	12.80802943
616	12.80537129
617	12.79950954
618	12.79876514
619	12.79388336
620	12.79181663
621	12.79072483
622	12.786313
623	12.7818247
624	12.77968437
625	12.77916724
626	12.77908781
627	12.77788541
628	12.77387641
629	12.76760649
630	12.760856
631	12.75589115
632	12.75408216
633	12.75004539
634	12.7435617
635	12.73978627
636	12.73814577
637	12.73320397
638	12.72129245
639	12.71811217
640	12.7143164
641	12.70975265
642	12.70380404
643	12.70079281
644	12.69716428
645	12.6926854
646	12.692634
647	12.69181548
648	12.68717384
649	12.68039149
650	12.67509943
651	12.67248609
652	12.66860025
653	12.6634791
654	12.65721278
655	12.65075152
656	12.64681849
657	12.64440499
658	12.63860925
659	12.63698056
660	12.63433756
661	12.62789995
662	12.62523448
663	12.61991113
664	12.61365053
665	12.61096111
666	12.6066323
667	12.60055719
668	12.59502203
669	12.59463092
670	12.59068942
671	12.58852643
672	12.58830524
673	12.58202343
674	12.57858999
675	12.57807934
676	12.57759869
677	12.57478818
678	12.57155696
679	12.56445655
680	12.56369303
681	12.56333859
682	12.56128587
683	12.55928255
684	12.55611394
685	12.54912744
686	12.54362172
687	12.54102525
688	12.53840021
689	12.53102275
690	12.52919944
691	12.52270384
692	12.51899548
693	12.5126339
694	12.50702989
695	12.50405249
696	12.50068105
697	12.49867458
698	12.49529316
699	12.4889857
