iter	RMSE
0	32.0418421
1	30.83194464
2	29.70658987
3	28.68095286
4	27.69070594
5	26.88865781
6	26.11960963
7	25.41313169
8	24.78059114
9	24.1535702
10	23.5993889
11	23.07855445
12	22.59500884
13	22.15442158
14	21.77716532
15	21.45051928
16	21.12416283
17	20.83098488
18	20.55395905
19	20.30810345
20	20.0596179
21	19.8455402
22	19.66371512
23	19.46134661
24	19.30073954
25	19.15767596
26	19.01354276
27	18.88448337
28	18.76505207
29	18.64342675
30	18.52368101
31	18.43058449
32	18.33677917
33	18.25185556
34	18.16456824
35	18.08424606
36	18.01206715
37	17.93317262
38	17.85379316
39	17.78398965
40	17.72169387
41	17.67028219
42	17.61489679
43	17.55483305
44	17.5077592
45	17.45230596
46	17.40577431
47	17.36381562
48	17.30718797
49	17.24829844
50	17.20873973
51	17.17377381
52	17.1240074
53	17.09284862
54	17.04981709
55	17.01808913
56	16.98129987
57	16.94637553
58	16.92291021
59	16.89927351
60	16.8716703
61	16.85070809
62	16.82941311
63	16.80821362
64	16.79003699
65	16.76726299
66	16.74686577
67	16.72832529
68	16.70522731
69	16.68896523
70	16.67404868
71	16.64767967
72	16.63153605
73	16.61475627
74	16.59315759
75	16.57670544
76	16.55777272
77	16.54107385
78	16.52382827
79	16.5057655
80	16.48202268
81	16.46540777
82	16.42908322
83	16.41912241
84	16.39773722
85	16.36914488
86	16.35520506
87	16.3473771
88	16.33461794
89	16.3220405
90	16.30340353
91	16.28194926
92	16.27583966
93	16.24938918
94	16.23554274
95	16.21035115
96	16.18883294
97	16.1581391
98	16.14666881
99	16.10701708
100	16.0872046
101	16.0653684
102	16.05468941
103	16.04478176
104	16.03755117
105	16.02656284
106	16.00103025
107	15.98770878
108	15.97422833
109	15.96734482
110	15.96571465
111	15.9542651
112	15.9410733
113	15.93960661
114	15.92392293
115	15.90569708
116	15.90064777
117	15.8829362
118	15.86416062
119	15.85605969
120	15.84525289
121	15.82227804
122	15.80989679
123	15.80002614
124	15.79063953
125	15.77383799
126	15.75341485
127	15.74131537
128	15.72606728
129	15.71525354
130	15.7025872
131	15.69590702
132	15.67929642
133	15.66202256
134	15.64772593
135	15.64679444
136	15.64602335
137	15.64182839
138	15.63000707
139	15.61732685
140	15.61654602
141	15.61560684
142	15.60990934
143	15.60353221
144	15.6028925
145	15.58793131
146	15.57545236
147	15.57482252
148	15.57432416
149	15.55722986
150	15.54516855
151	15.52885825
152	15.51971274
153	15.50080566
154	15.49956987
155	15.48077584
156	15.4721219
157	15.458246
158	15.45766007
159	15.4432958
160	15.43023645
161	15.41045252
162	15.3972638
163	15.39614113
164	15.39559844
165	15.38184901
166	15.380788
167	15.36312641
168	15.35853231
169	15.3459403
170	15.34554675
171	15.33126654
172	15.31992673
173	15.30777509
174	15.30407145
175	15.30306801
176	15.29107129
177	15.26739786
178	15.25163135
179	15.2303911
180	15.21065413
181	15.2096954
182	15.20003088
183	15.17861408
184	15.16791908
185	15.16495593
186	15.15157362
187	15.14147981
188	15.12995932
189	15.12420207
190	15.1060477
191	15.09328926
192	15.08195309
193	15.07357549
194	15.05974842
195	15.04120152
196	15.03984384
197	15.0269459
198	15.02271243
199	15.01274973
200	15.00866094
201	15.00367475
202	14.99187754
203	14.97976867
204	14.97383552
205	14.97299253
206	14.96234717
207	14.95778004
208	14.9428222
209	14.93188439
210	14.93149371
211	14.93109044
212	14.93034179
213	14.91927379
214	14.9190667
215	14.9156446
216	14.89961796
217	14.88841284
218	14.87655364
219	14.86765911
220	14.8645852
221	14.86183488
222	14.85694484
223	14.8560279
224	14.84636955
225	14.83627176
226	14.83230182
227	14.81524845
228	14.81416139
229	14.81082774
230	14.80671183
231	14.80640057
232	14.80571335
233	14.79471738
234	14.79441465
235	14.77745621
236	14.77686058
237	14.77669941
238	14.76924927
239	14.7573308
240	14.74576894
241	14.739435
242	14.72693988
243	14.72307456
244	14.71618078
